title,url,source,date,content
Kylian Mbappé tells PSG he will leave in summer as suitors circle for signature,https://www.theguardian.com/football/2024/feb/15/kylian-mbappe-tells-psg-leave-summer-real-madrid-premier-league,Guardian,2024-02-15T17:24:29Z,
‘A lot higher than we expected’: Russian arms production worries Europe’s war planners,https://www.theguardian.com/world/2024/feb/15/rate-of-russian-military-production-worries-european-war-planners,Guardian,2024-02-15T17:16:23Z,
"Measles in all English regions, says UKHSA, as it urges parents to get children jabbed",https://www.theguardian.com/society/2024/feb/15/measles-in-all-english-regions-says-ukhsa-as-it-urges-parents-to-get-children-jabbed,Guardian,2024-02-15T17:02:01Z,
"‘They lied’: plastics producers deceived public about recycling, report reveals",https://www.theguardian.com/us-news/2024/feb/15/recycling-plastics-producers-report,Guardian,2024-02-15T17:00:20Z,
"Football Daily | Bayern, Big Cup and blowing it: you can take Harry Kane out of Spurs …",https://www.theguardian.com/football/2024/feb/15/bayern-munich-champions-league-harry-kane-blowing-it-football-daily,Guardian,2024-02-15T16:49:34Z,
Cillian Murphy calls Ireland’s Magdalene Laundries scandal a ‘collective trauma’,https://www.theguardian.com/film/2024/feb/15/cillian-murphy-small-things-like-these-magdalene-laundries-berlin-film-festival,Guardian,2024-02-15T16:46:00Z,
Drug offers ‘wonderful’ breakthrough in treatment of asbestos-linked cancer,https://www.theguardian.com/science/2024/feb/15/drug-offers-wonderful-breakthrough-in-treatment-of-asbestos-linked-cancer,Guardian,2024-02-15T16:26:00Z,
Judge sets March date for Trump’s Stormy Daniels hush-money trial,https://www.theguardian.com/us-news/2024/feb/15/trump-court-stormy-daniels-case,Guardian,2024-02-15T16:22:37Z,
"Tickets, please, angry Tories! You may not like the name, but you’re welcome on London's Windrush line | Jonn Elledge",https://www.theguardian.com/commentisfree/2024/feb/15/angry-tories-windrush-line-woke-rail-routes-suffragette,Guardian,2024-02-15T16:16:59Z,
Alleged Epstein victims file suit against FBI for failing to protect them,https://www.theguardian.com/us-news/2024/feb/15/fbi-jeffrey-epstein-lawsuit,Guardian,2024-02-15T16:15:15Z,
"Labour accuses Hunt of being ‘out of touch’, with voting under way in Kingswood and Wellingborough byelections – as it happened",https://www.theguardian.com/politics/live/2024/feb/15/kingswood-wellingborough-byelections-sunak-starmer-labour-conservatives-uk-politics-live-thursday,Guardian,2024-02-15T16:13:08Z,
Stephen Colbert on national security warning: ‘Only reason to panic is if you forgot it’s Valentine’s Day’,https://www.theguardian.com/culture/2024/feb/15/stephen-colbert-national-security-late-night,Guardian,2024-02-15T16:11:38Z,
Handel: Alcina album review – Magdalena Kožená is a tour de force ,https://www.theguardian.com/music/2024/feb/15/handel-alcina-album-review-magdalena-kozena-is-a-tour-de-force,Guardian,2024-02-15T16:00:19Z,
"Edward Said seems like a prophet: 20 years on, ‘there’s hunger for his narrative’",https://www.theguardian.com/world/2024/feb/15/edward-said-palestine-israel-gaza,Guardian,2024-02-15T16:00:18Z,
Trouble at US space force as multibillion-dollar program cancelled,https://www.theguardian.com/us-news/2024/feb/15/us-space-force-military-communications-satellite-program-cancelled,Guardian,2024-02-15T15:30:50Z,
Middle East crisis: MSF says ‘medical staff have had to flee’ Gaza’s Nasser hospital following Israeli military intervention – as it happened,https://www.theguardian.com/world/live/2024/feb/15/middle-east-crisis-live-rafah-offensive-ceasefire-talks-israel-gaza-latest-news,Guardian,2024-02-15T15:28:24Z,
Jens Stoltenberg says Nato ‘on the right track’ on defence spending as Ukraine counts cost of Russian missile strikes – as it happened,https://www.theguardian.com/world/live/2024/feb/15/russia-missile-attacks-ukraine-europe-nato-defence-ministers-brussels-live,Guardian,2024-02-15T15:21:34Z,
Wood is England’s ace in the pack but India dominate on batting paradise | Tanya Aldred,https://www.theguardian.com/sport/2024/feb/15/mark-wood-is-englands-ace-in-the-pack-but-india-dominate-on-batting-paradise-third-test,Guardian,2024-02-15T15:14:34Z,
"Trump says mixing Haley with Pelosi and Biden with Obama was tactic, not gaffe",https://www.theguardian.com/us-news/2024/feb/15/trump-haley-pelosi-mix-up-tactic,Guardian,2024-02-15T15:14:07Z,
English National Opera musicians call off strike action after agreement reached,https://www.theguardian.com/music/2024/feb/15/english-national-opera-musicians-call-off-strike-action,Guardian,2024-02-15T15:14:06Z,
